date_of_sale,address,postal_code,county,price,description
01/12/2020,"106 ST MOBHI RD, GLASNEVIN, DUBLIN 11",Dublin 9,Dublin,"€565,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"106 WESTON VIEW, BALLINREA RD, CARRIGALINE",,Cork,"€115,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"107 LESLIES ARCH, THE OLD QUARTER, BALLINCOLLIG",,Cork,"€326,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"108 ADAMSTOWN AVE, LUCAN, DUBLIN",,Dublin,"€281,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"11 Cois na hAbhann, Newtown Road, Wexford",,Wexford,"€296,917.00",New Dwelling house /Apartment
01/12/2020,"11 COURSE SIDE, FOTA ISLAND, COUNTY CORK",,Cork,"€325,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"11 GALTEE CLOSE, GLENMORE, CAHERDAVIN",,Limerick,"€155,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"11 MULLINMORE NORTH, CROSSMOLINA, CO MAYO",,Mayo,"€15,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12 Beresford Avenue, Donabate, Co Dublin",,Dublin,"€343,700.43",New Dwelling house /Apartment
01/12/2020,"12 CLAY FARM PARK, CLAY FARM, LEOPARDSTOWN",Dublin 18,Dublin,"€560,000.00",New Dwelling house /Apartment
01/12/2020,"12 Fredrick Avenue, Crawford Gate, Blackrock",,Cork,"€303,966.00",New Dwelling house /Apartment
01/12/2020,"12 LYNDEN COURT, PORTLAOISE, LAOIS",,Laois,"€172,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12 MERTON WALK, MOUNT ST ANNES, MILLTOWN",Dublin 6,Dublin,"€840,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12 MILL HOLLOW, WINDMILL, CASHEL",,Tipperary,"€130,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12 RIVERCHAPEL SQ, RIVERCHAPEL WOOD, COURTOWN",,Wexford,"€152,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12 THE SWIFT, TASSAGARD GREEN, GARTERS LANE",Dublin 24,Dublin,"€265,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12A GRIFFITH AVE, COOTEHILL, CAVAN",,Cavan,"€130,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"12/13 Dorset Street Upper, Dublin 1",Dublin 1,Dublin,"€3,405,000.00",New Dwelling house /Apartment
01/12/2020,"13 CHURCH LANE, LETTERKENNY, DONEGAL",,Donegal,"€90,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"13 CLYBAWN COURT, CLYBAWN, GALWAY",,Galway,"€338,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"13 FERNLEA, KILNAGLEARY, CARRIGALINE",,Cork,"€28,804.17",Second-Hand Dwelling house /Apartment
01/12/2020,"130 Clonlara, Kerry Pike, County Cork",,Cork,"€325,990.00",New Dwelling house /Apartment
01/12/2020,"133 CEDARBROOK AVE, CHERRY ORCHARD, BALLYFERMOT DUBLIN 10",Dublin 10,Dublin,"€143,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"14 DJOUCE MEADOW, ROUNDWOOD, BRAY",,Wicklow,"€475,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"14 Seascape, Keatingstown, Wicklow",,Wicklow,"€315,000.00",New Dwelling house /Apartment
01/12/2020,"14 THE LAURELS DOWNSTOWN MANOR, DULEEK, MEATH",,Meath,"€231,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"144 RAHYLIN GLEBE, BALLYBANE, GALWAY",,Galway,"€232,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"146 CORRIB ROAD, TERENURE, DUBLIN 6W",,Dublin,"€440,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"15 CAPEL COURT, CAPEL ST, DUBLIN 1",Dublin 1,Dublin,"€218,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"15 CHANCERY PARK GROVE, TULLAMORE, OFFALY",,Offaly,"€160,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"15 Steeplewood, Carrigohane, Cork",,Cork,"€401,938.00",New Dwelling house /Apartment
01/12/2020,"156 PHILIPSBURGH AVE, MARINO, DUBLIN 3",Dublin 3,Dublin,"€370,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"16 ABBEYFIELD, KILCOCK, CO KILDARE",,Kildare,"€429,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"16 BEECHWOOD, COBH, CORK",,Cork,"€145,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"16 THE STRAND, ENNISCRONE, CO SLIGO",,Sligo,"€235,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"16A FAIRYHOUSE LODGE, RATOATH, MEATH",,Meath,"€625,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"18 Churchlands, Delgany, Co. Wicklow",,Wicklow,"€387,665.20",New Dwelling house /Apartment
01/12/2020,"18 DUNMORE GROVE, KINGSWOOD CASTLE, DUBLIN 24",Dublin 24,Dublin,"€350,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"18 ROCKHILL PARK, CARROWKEEL, COUNTY DONEGAL",,Donegal,"€75,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"18 THE WEIR, MARKET POINT, MULLINGAR",,Westmeath,"€110,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"19 HAWTHORN ROAD, BRAY, CO WICKLOW",,Wicklow,"€325,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"19 The Shore, Marina Village, Greystones",,Wicklow,"€700,440.00",New Dwelling house /Apartment
01/12/2020,"19 THE WEIR, MARTINS ROW, CHAPELIZOD DUBLIN 20",Dublin 20,Dublin,"€275,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"198 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",Dublin 3,Dublin,"€550,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"199 NAVAN ROAD, DUBLIN 7",,Dublin,"€750,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 8 DE BRUIN, POOLBERRY, WATERFORD",,Waterford,"€71,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 ALEXANDAR TERRACE, CASTLEFORBES ROAD, DUBLIN 1",Dublin 1,Dublin,"€1,000,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 CNOC BEAG, CARRICK ON SHANNON, LEITRIM",,Leitrim,"€90,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 Gairdin Beag, Main Street, Rathwire",,Westmeath,"€185,022.00",New Dwelling house /Apartment
01/12/2020,"2 HAMPTON, GRACE PARK ROAD, DRUMCONDRA",Dublin 9,Dublin,"€770,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 TEMPLEDOWNEY, TOOMEVARA, NENAGH",,Tipperary,"€90,500.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 THE SWIFT, TASSAGARD GREEN, SAGGART",Dublin 24,Dublin,"€217,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"2 The Way, Ledwill Park, Kilcock",,Kildare,"€264,317.00",New Dwelling house /Apartment
01/12/2020,"20 JAMESTOWN PARK, RATOATH, MEATH",,Meath,"€360,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"20 The Court, Fairways, Carrickmines Manor",Dublin 18,Dublin,"€440,528.63",New Dwelling house /Apartment
01/12/2020,"21 KYLEBROOK, ABBEYLEIX RD, PORTLAOISE",,Laois,"€247,000.00",Second-Hand Dwelling house /Apartment
01/12/2020,"22 Fairway Drive, Cualanor, Dun Laoghaire",,Dublin,"€788,547.00",New Dwelling house /Apartment
01/12/2020,"22 GLENTAIN, LETTERKENNY, DONEGAL",,Donegal,"€37,837.00",Second-Hand Dwelling house /Apartment
01/12/2020,"22 KNOCKROE PARK, CASTLEREA, ROSCOMMON",,Roscommon,"€110,000.00",Second-Hand Dwelling house /Apartment
